Latitude,Longitude,Limitation de Vitesse
43.6987487,7.2839717,30
43.6988201,7.2838844,30
43.6989039,7.2837606,30
43.6992518,7.283212,30
43.699294,7.2831477,30
43.6993911,7.2829875,30
43.6999154,7.2821496,30
43.6999488,7.2820968,30
43.6999923,7.2820282,30
43.7005121,7.2812067,30
43.7006165,7.2810348,30
43.7006664,7.2809469,30
43.70069,7.2808949,30
43.7006999,7.2808633,30
43.6951365,7.2690949,50
43.6951175,7.2683972,50
43.695104,7.2681055,50
43.6950911,7.2678278,50
43.6950661,7.2672558,50
43.6950478,7.266712,50
43.6950419,7.2665734,50
43.6950399,7.2665227,50
43.6950376,7.266467,50
43.6950339,7.2663743,50
43.6647372,7.201433,70
43.6649603,7.2020182,70
43.6650227,7.2022185,70
43.6650854,7.2024299,70
43.6651532,7.2026929,70
43.6651893,7.2028559,70
43.665216,7.2029764,70
43.7104648,7.1877803,70
43.7113678,7.187646,70
43.7115497,7.1876134,70
43.7117029,7.1875839,70
43.7123178,7.1874496,70
43.6969078,7.2795453,30
43.696861,7.2798284,30
43.6968328,7.2800656,30
43.6967874,7.2803077,30
43.6967499,7.280575,30
43.6967413,7.2806934,30
43.6967424,7.2808334,30
43.6967717,7.281035,30
43.6968363,7.2812473,30
43.6968671,7.2813483,30
43.6968909,7.2814216,30
43.6968887,7.2815428,30
43.6969002,7.2816984,30
43.7252547,7.2492919,50
43.7251668,7.2493478,50
43.7250421,7.2494061,50
43.7247374,7.2495449,50
43.7246474,7.2495889,50
43.724526,7.2496482,50
43.7243287,7.2497431,50
43.7242623,7.2497766,50
43.724182,7.2498145,50
43.7240382,7.2498799,50
43.7239156,7.2499393,50
43.7236775,7.2500525,50
43.7235591,7.250117,50
43.7234008,7.2501872,50
43.7231987,7.2502832,50
43.7231406,7.2503072,50
43.7230591,7.2503469,50
43.7228895,7.2504187,50
43.722149,7.2507741,50
43.7220215,7.250834,50
43.7219038,7.2508894,50
43.7217609,7.2509538,50
43.7216053,7.2510218,50
43.7215924,7.2510276,50
43.7215452,7.251049,50
43.7211658,7.2512299,50
43.7206366,7.2514812,50
43.7205682,7.251513,50
43.7200186,7.2517624,50
43.7196447,7.2519293,50
43.7193414,7.2520909,50
43.719252,7.2521339,50
43.7192267,7.2521449,50
43.7191423,7.2521818,50
43.7100628,7.2560076,50
43.7100603,7.2558451,50
43.7100562,7.2555702,50
43.7166157,7.2571749,50
43.7165456,7.2572278,50
43.7164219,7.2573211,50
43.7163951,7.2573393,50
43.7162576,7.2574328,50
43.7161968,7.2575293,50
43.6964832,7.271835,20
43.6965486,7.2712182,20
43.6965519,7.2711868,20
43.6965462,7.2711247,20
43.6965232,7.2710866,20
43.6931898,7.2813671,50
43.6931615,7.2812607,50
43.6931412,7.2811445,50
43.6931329,7.2810321,50
43.6931381,7.2809174,50
43.6931579,7.2807831,50
43.6931969,7.2806426,50
43.6933711,7.2801239,50
43.6935761,7.2795288,50
43.6936355,7.2792807,50
43.6936742,7.2792091,50
43.6937179,7.279174,50
43.693768,7.2791512,50
43.6938196,7.2791362,50
43.6940328,7.2791142,50
43.6941443,7.2790737,50
43.6941956,7.2790502,50
43.6942428,7.2790211,50
43.6967396,7.2835132,50
43.6966377,7.2835059,50
43.6962318,7.2834436,50
43.6962047,7.28344,50
43.6983253,7.2837614,50
43.6975323,7.2836233,50
43.6974654,7.2836108,50
43.6970341,7.2835388,50
43.696821,7.2835149,50
43.6967396,7.2835132,50
43.6949154,7.2664434,50
43.6949166,7.2664761,50
43.6949186,7.2665294,50
43.6949584,7.2675528,50
43.6949695,7.2678393,50
43.694975,7.2680321,50
43.6971714,7.2695476,50
43.6967998,7.2686925,50
43.6967222,7.2685078,50
43.6963963,7.267731,50
43.6963668,7.2676624,50
43.6963427,7.2676018,50
43.6962916,7.26748,50
43.6962009,7.2672488,50
43.7042606,7.265544,30
43.7042903,7.2656447,30
43.7042953,7.2656614,30
43.7043009,7.2656804,30
43.7043229,7.265755,30
43.7047321,7.2673616,30
43.704891,7.2679176,30
43.7049129,7.2679942,30
43.7049378,7.2680696,30
43.7051567,7.2687339,30
43.7052925,7.2691695,30
43.7053155,7.2692432,30
43.7053455,7.2693366,30
43.7054641,7.2697057,30
43.7056453,7.2702043,30
43.705678,7.2702863,30
43.7063253,7.2663451,50
43.7062675,7.2663852,50
43.7058439,7.266659,50
43.705784,7.2666978,50
43.6998188,7.2684192,50
43.6998348,7.2684658,50
43.6998418,7.2684864,50
43.69985,7.2685105,50
43.69988,7.2686012,50
43.6999957,7.2689507,50
43.7000987,7.2692618,50
43.7001184,7.2693213,50
43.6986379,7.2750915,50
43.698714,7.275031,50
43.6996387,7.2742516,50
43.6996923,7.2742066,50
43.6997514,7.2741572,50
43.7003493,7.273658,50
43.7003894,7.273622,50
43.7026214,7.2647073,50
43.7026207,7.2646207,50
43.7026164,7.264082,50
43.7026157,7.2639985,50
43.7041751,7.2741061,50
43.7042464,7.2739416,50
43.7043458,7.2737253,50
43.7043888,7.2736317,50
43.7044767,7.2734104,50
43.6989679,7.262441,30
43.6988174,7.2625275,30
43.6982807,7.2626703,30
43.6982368,7.2626823,30
43.6958533,7.2608196,50
43.6959097,7.2607993,50
43.6962364,7.2607047,50
43.6966906,7.2605733,50
43.6967223,7.2605641,50
43.6967835,7.2605476,50
43.696817,7.260538,50
43.6968759,7.2605243,50
43.697015,7.2604892,50
43.697619,7.2603101,50
43.6976577,7.2602986,50
43.6976856,7.2602898,50
43.6977355,7.2602742,50
43.6977819,7.2602597,50
43.6982705,7.2601095,50
43.6982954,7.2601016,50
43.698409,7.2600571,50
43.6986811,7.2612553,50
43.6987648,7.2612248,50
43.6995395,7.2613445,50
43.6996011,7.261354,50
43.6996797,7.2613664,50
43.700131,7.2614376,50
43.7003408,7.2614706,50
43.7003953,7.2614795,50
43.7027965,7.2597393,50
43.7025473,7.2597003,50
43.7020463,7.259622,50
43.702002,7.2596154,50
43.7019432,7.2596072,50
43.7006816,7.2594306,50
43.7006198,7.2594217,50
43.7005606,7.2594118,50
43.6996662,7.259261,50
43.6995951,7.259249,50
43.6995224,7.2592385,50
43.6988118,7.2591362,50
43.6983219,7.2590594,50
43.6982504,7.2590462,50
43.6981675,7.2590329,50
43.6956728,7.2691764,50
43.6956812,7.269117,50
43.6956981,7.2690828,50
43.695722,7.2690525,50
43.7323526,7.2948798,110
43.7320232,7.2995129,110
43.7320053,7.299868,110
43.7288792,7.4084921,50
43.7289259,7.4085476,50
43.7289595,7.4085822,50
43.7289914,7.4085955,50
43.7290437,7.408609,50
43.729101,7.4085964,50
43.6705383,7.2030243,30
43.6708711,7.2028711,30
43.6710034,7.2028076,30
43.6710757,7.2027786,30
43.6711333,7.2027746,30
43.6712071,7.2027898,30
43.6712654,7.2028375,30
43.6713053,7.2029217,30
